,Job,Credit amount,Duration,Risk,Sex_female,Sex_male,Housing_free,Housing_own,Housing_rent,Savings_little,Savings_moderate,Savings_quite rich,Savings_rich,Checking_little,Checking_moderate,Checking_rich,Purpose_business,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Age_18-30,Age_31-40,Age_41-50,Age_51-60,Age_61-80
454,0.16651403627066402,0.5434640679689411,0.2755727068594259,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
525,0.16651403627066402,1.6605598198940283,0.4435408329451712,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
817,0.16651403627066402,-0.6140727496022117,-1.2361404279122818,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
794,0.16651403627066402,-0.07911549526653952,0.2755727068594259,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
207,0.16651403627066402,-0.6601897542863214,-0.732236049655046,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
51,1.663269418478879,0.9507126939486172,0.5275248959880439,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
465,0.16651403627066402,-0.12807046946967132,0.2755727068594259,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
385,0.16651403627066402,-0.3714263557258193,-0.22833167139781002,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
472,-1.3302413459375508,-0.9333443204922017,-0.9841882387836639,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
317,-1.3302413459375508,0.37815234348590177,0.2755727068594259,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
992,-1.3302413459375508,-0.47855970506890483,-0.22833167139781002,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
685,0.16651403627066402,1.1500800526599222,3.2989989764028413,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
787,0.16651403627066402,-0.18944156031852497,2.2911902198883696,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
918,0.16651403627066402,-0.3285020667506095,0.2755727068594259,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
